TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
3609,43.77544439,-79.59747673,18777,6714,4235,2790,3
3610,43.84123507,-79.44362847,16521,7500,4479,2563,3
3611,43.77268773,-79.41909398,9987,3382,2573,2304,3
3625,43.57644209,-79.55466707,13517,4085,5566,2115,3
3628,43.64845976,-79.44260447,3536,1178,1756,1576,1
3629,43.64346522,-79.44009905,3559,1232,2028,1650,1
3631,43.45767116,-79.70839018,28469,8410,16162,2769,3
3633,43.59250868,-79.56105983,13669,3915,4260,1976,3
3634,43.57294881,-79.60158119,15950,5397,5095,2078,3
3635,43.58031046,-79.5933634,15113,4333,4872,2059,3
3636,43.55461489,-79.63441347,18652,5256,4979,2510,3
3637,43.5726537,-79.61782133,16599,4782,4285,2214,3
3638,44.05259249,-79.4679231,34068,12430,7212,3472,3
3639,44.06640969,-79.45235218,35558,12392,7341,3328,3
3640,44.06079692,-79.47186081,34731,12625,7728,3499,3
3641,44.13850322,-79.43730597,42960,13887,9673,3776,3
3653,43.59497479,-79.61100054,15292,5104,4535,2211,3
3654,43.58626913,-79.61394429,16242,4713,4166,2270,3
3655,43.60626946,-79.59474266,14276,4020,3729,2134,3
3656,43.61163696,-79.59256671,13689,3973,3865,2161,3
3657,43.61793206,-79.58870526,13000,3835,4136,2178,3
3665,43.56868803,-79.60849834,16616,5523,5068,2103,3
3666,43.57377269,-79.75673315,26487,8252,4708,3097,3
3670,43.58646964,-79.75398782,26328,8053,3814,2963,3
3671,43.5760627,-79.74780179,25771,7820,4779,2975,3
3672,43.58092335,-79.74277276,25465,7736,4474,3039,3
3673,43.72997699,-79.48722909,9735,3314,3347,2161,3
3674,43.53882749,-79.68968274,22664,7111,5867,2705,3
3675,43.53345742,-79.67959093,22458,7057,5277,2582,3
3676,43.5683271,-79.64721677,18663,5965,5812,2554,3
3677,43.5786663,-79.64007127,17567,5616,5460,2442,3
3678,43.59236543,-79.63076983,16407,5063,3191,2403,3
3679,43.60185731,-79.61805656,15349,4827,3972,2243,3
3680,43.58941744,-79.62150315,16366,5174,3285,2390,3
3682,43.6203385,-79.57876184,12764,3590,3366,2181,3
3683,43.62258714,-79.5953116,13207,3858,3637,2261,3
3684,43.62931429,-79.58893643,12493,3624,3563,2181,3
