,0
2253,POINT (-79.27772287331015 43.89310859864403)
2256,POINT (-79.76803468725633 43.71508838193781)
2259,POINT (-79.62099270928346 43.82508540368411)
2260,POINT (-79.61563264449823 43.81660714680787)
2261,POINT (-79.23561011631242 43.9813507085894)
2263,POINT (-79.29471220183034 43.78981233038835)
2264,POINT (-79.29373108121713 43.78359372685765)
2267,POINT (-79.57056960175562 43.68016051628599)
2268,POINT (-79.56253116333016 43.6886565854573)
2269,POINT (-79.55904823699009 43.68019671977564)
2292,POINT (-79.59476471664141 43.75596748951478)
2299,POINT (-79.35348610784064 43.77033399011894)
2300,POINT (-79.72403950998709 43.77188622729223)
2301,POINT (-79.35366026151959 43.78278470340332)
2302,POINT (-79.35983209368034 43.77857214109044)
2305,POINT (-79.82810153437995 43.70846150982101)
2327,POINT (-79.3141059432799 43.78082782422457)
2335,POINT (-79.51552730713942 43.8596783554805)
2385,POINT (-79.40322463098617 43.78638038419393)
2412,POINT (-79.0387113380133 43.85393917175941)
2455,POINT (-79.24745443271614 43.74141146357323)
2457,POINT (-79.24248072903586 43.74278587285066)
2459,POINT (-79.25045907648371 43.70767488009187)
2477,POINT (-79.43891826130631 43.92761503922119)
2488,POINT (-79.46869827856393 44.0693494042061)
2510,POINT (-79.5253523041717 43.8365416697134)
2514,POINT (-79.20906692546235 43.88161546009571)
2525,POINT (-79.7194463718279 43.4809851477419)
2528,POINT (-79.49686633553924 44.05688457088118)
2529,POINT (-79.49107295872523 44.06422082702181)
2531,POINT (-79.71337813114036 43.47340041392525)
2532,POINT (-79.51366176392666 43.89245396211921)
2533,POINT (-79.47733175387171 43.87254510877376)
2534,POINT (-79.20205014795148 43.86340801918366)
2545,POINT (-79.03748304006523 43.88201358191524)
2551,POINT (-79.33884658079997 43.71748082555606)
2554,POINT (-79.49365364716731 43.85053003982192)
2555,POINT (-79.47303945362428 43.85435165087355)
2557,POINT (-79.230251484749 43.88923312872543)
2558,POINT (-79.20798794347816 43.89438368198709)
2563,POINT (-79.79247184030493 43.660877429625)
2565,POINT (-79.80480388064539 43.6385604197783)
2575,POINT (-79.46580915943444 43.93011306351962)
2578,POINT (-79.46057865482298 43.91241546470128)
2585,POINT (-79.8961990874888 43.63356570313611)
2586,POINT (-79.88348015844814 43.62681171389718)
2600,POINT (-79.35489981160707 44.14440411210582)
2601,POINT (-79.24094113790585 43.84865289135664)
2604,POINT (-79.54094752950388 43.83846129603521)
2609,POINT (-79.40890296721462 43.93571411130871)
2611,POINT (-79.73749784121813 43.55053351229511)
2612,POINT (-79.74508411968719 43.54444348827079)
2613,POINT (-79.76123796994837 43.71923811516936)
2621,POINT (-79.44746147419612 43.70947564407757)
2623,POINT (-79.52908837498136 43.84564257982808)
2626,POINT (-79.54544258394642 43.861565722142)
2627,POINT (-79.5436029337596 43.85217897979816)
2639,POINT (-79.75837764010417 43.44241690190806)
2641,POINT (-79.46104178331443 43.70688726056122)
2642,POINT (-79.49688616135435 43.70761922596314)
2643,POINT (-79.49902122292333 43.71477152032278)
2644,POINT (-79.43966551899216 43.72904897140528)
2645,POINT (-79.5039119964234 43.73108830937956)
2646,POINT (-79.50341313076827 43.73763588931372)
2647,POINT (-79.84809373968129 43.49660770800097)
2649,POINT (-79.83885340625967 43.49883132839278)
2651,POINT (-79.91712315280169 43.6405944538336)
2654,POINT (-79.83550659013656 43.51342848743306)
2656,POINT (-79.85095306111344 43.52806529139678)
2657,POINT (-79.90125209089041 43.64373387224499)
2658,POINT (-79.86460180131297 43.48168098101605)
2664,POINT (-79.41422358294446 43.78336872993594)
2667,POINT (-79.84857178967431 43.67994006299643)
2668,POINT (-79.76646970619146 43.43545021139161)
2669,POINT (-79.754180824271 43.43201151808721)
2670,POINT (-79.6951457950637 43.49775169928379)
2671,POINT (-79.6984254697786 43.48890115138906)
2672,POINT (-79.83099886048817 43.52341000128702)
2673,POINT (-79.84187166873384 43.51861566902145)
2732,POINT (-79.74075901346508 43.75527265964242)
2759,POINT (-79.84551010366258 43.52472410315039)
2760,POINT (-79.88720078052995 43.49668819815806)
2761,POINT (-79.73071711119744 43.7831323685496)
2765,POINT (-79.7487993086381 43.75995795223479)
