TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
1646,43.55505126,-79.75176962,27862,8710,4497,2689,3
1647,43.56216319,-79.71721846,25331,8011,4241,2808,3
1648,43.5575,-79.72290923,25736,8185,4475,2789,3
1649,43.58983829,-79.63336264,18115,5557,2898,2230,3
1650,43.58684938,-79.63847082,18649,5704,3247,2244,3
1651,43.61546145,-79.63653197,19002,6172,4274,2300,3
1652,43.60862077,-79.6447507,18960,6236,4403,2293,3
1653,43.59921667,-79.70450078,24012,7169,4506,2630,3
1659,43.97483227,-79.27486685,33952,11957,7139,3121,3
1702,43.70783615,-79.7300303,26384,8767,4375,2463,3
1710,43.65642788,-79.37762327,1301,569,510,1130,2
1715,43.66627358,-79.76842192,28916,9958,4165,2820,3
1716,43.66249099,-79.77317811,29140,9555,4209,2688,3
1717,43.68998879,-79.79524579,31385,10257,5065,3114,3
1721,43.72388994,-79.80585768,32112,10425,4599,2913,3
1722,43.71647708,-79.81368528,33399,10860,5220,3125,3
1731,43.69278893,-79.81227922,32481,10683,4739,3095,3
1735,43.75892188,-79.42218036,11350,5088,2368,2202,3
1738,43.76346171,-79.41276431,10961,4994,1978,2220,2
1752,43.74347509,-79.67964867,23485,8052,4605,2541,3
1753,43.68994942,-79.82628731,33280,10952,4224,3185,3
1754,43.68242549,-79.82025943,32980,10846,3754,3169,3
1755,43.69879787,-79.80893805,32033,10538,4635,3073,3
1759,43.63884325,-79.39653667,1390,883,1130,1239,1
1764,43.66076122,-79.37947737,1684,746,691,1236,2
1772,43.7712509,-79.38323386,12519,4807,2824,2079,3
1777,43.76757431,-79.37321132,13074,4620,2441,2015,3
1778,43.77054099,-79.41220337,11416,5078,1998,2288,2
1779,43.76472813,-79.41030006,10966,5005,2036,2211,2
1780,43.7785157,-79.41339965,12180,5268,2426,2410,3
1781,43.77557148,-79.41241369,11938,5174,2495,2329,3
1782,43.77569264,-79.25793087,16052,5454,4136,2134,3
1783,43.76277464,-79.25327378,14839,5157,4342,2216,3
1791,43.7229218,-79.75600165,28484,9390,4842,2560,3
1800,43.96993832,-79.23383891,34858,12566,4917,3253,3
1802,43.5954542,-79.69545199,23286,6924,5897,2803,3
1812,43.64247768,-79.7201309,25050,7656,5222,2488,3
1817,43.63295318,-79.73273084,25607,7855,5029,2518,3
1818,43.64561709,-79.37615551,560,353,561,1042,1
1819,43.69069041,-79.70692624,24390,8300,3378,2583,3
1820,43.72746798,-79.75090929,28336,9200,5016,2624,3
1823,43.96225248,-79.23719849,34350,12298,5093,3329,3
1837,43.68583872,-79.80068628,31432,10181,4517,3018,3
1838,43.73417771,-79.82323556,33502,10888,5088,2901,3
1839,43.72479662,-79.82469194,33401,10947,5336,2998,3
1884,43.5426485,-79.72992366,26623,8202,4587,2725,3
1885,43.6953434,-79.83803315,34327,11256,4328,3292,3
1888,43.6423199,-79.37459686,622,348,399,954,1
1939,44.0204334,-79.42760815,34809,11545,5526,2942,3
1950,43.74784045,-79.49382562,13901,4780,2193,2715,2
1951,43.87847842,-79.00814504,31742,9690,4629,3090,3
1956,43.76474878,-79.52740292,16541,5284,3600,2534,3
1957,43.89013289,-79.03661418,31542,9911,4591,3112,3
1958,43.70500042,-79.82097723,33123,10827,4589,3126,3
1960,44.01207559,-79.46670527,32295,12073,4404,3343,3
1962,44.01431364,-79.45469105,33055,11758,6163,3149,3
1971,43.89403729,-79.31276246,26137,9710,4718,2701,3
1973,43.75469994,-79.50961775,15417,4992,2746,2606,3
1974,43.74449559,-79.52221162,14742,4827,4236,2548,3
1975,43.75541049,-79.57557198,17516,6366,4931,2533,3
1976,43.75018073,-79.56470676,17006,6036,4506,2491,3
1980,43.79626002,-79.37442161,15190,5599,2889,2250,3
1981,43.79867249,-79.3635056,15535,5695,2670,2152,3
1982,43.80366575,-79.34622229,16240,6027,4220,2031,3
1983,43.78494806,-79.32456377,15399,6029,4048,2101,3
1984,43.8286662,-79.30990406,20071,7135,2774,2371,3
1987,43.78423693,-79.30461982,15710,5158,4364,2131,3
1988,43.79694176,-79.29754886,17070,5546,3999,2244,3
1989,43.80455602,-79.3038218,17712,5748,4711,2333,3
1990,43.89078672,-79.25216689,26897,10029,4036,2780,3
1991,43.8199094,-79.35826719,18262,6867,4770,2078,3
1992,43.80466439,-79.40902901,14791,6333,3581,2458,3
1993,43.82021738,-79.41144403,16162,6670,4541,2531,3
2003,43.83918908,-79.27173146,22080,7912,4043,2558,3
2004,43.83403609,-79.27197251,21873,7944,3792,2539,3
2005,43.84641174,-79.31789958,22157,7810,4031,2138,3
2006,43.77946406,-79.7532236,29037,9697,5933,3009,3
2007,43.77140859,-79.74989831,28729,9615,6121,3099,3
2009,43.8336089,-79.28472739,21322,7565,3588,2559,3
2010,43.83571305,-79.27894167,21614,7752,5507,2499,3
2011,43.85883887,-79.29418189,23137,7977,4611,2405,3
2019,43.8500066,-79.29314061,22251,7852,4278,2424,3
2022,43.83922038,-79.37047285,19836,7428,4407,2023,3
2023,43.83153566,-79.3784725,18513,6858,5086,2351,3
2034,43.89768971,-79.30006085,26604,9910,4950,2747,3
