TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2267,43.68016052,-79.5705696,4012,1279,1454,1218,3
2268,43.68865659,-79.56253116,3792,1266,973,1162,2
2269,43.68019672,-79.55904824,4441,1423,1554,1237,3
2292,43.75596749,-79.59476472,8014,2462,2440,1627,3
2299,43.77033399,-79.35348611,20041,7600,4549,1969,3
2300,43.77188623,-79.72403951,10153,2914,3663,1829,3
2301,43.7827847,-79.35366026,20879,7621,4814,2088,3
2302,43.77857214,-79.35983209,19964,7548,4413,1978,3
2305,43.70846151,-79.82810153,16850,5186,5295,2417,3
2327,43.78082782,-79.31410594,22478,8273,4971,2117,3
2335,43.85967836,-79.51552731,20738,6329,4866,1937,3
2385,43.78638038,-79.40322463,19279,6230,4110,2180,3
2412,43.85393917,-79.03871134,40106,12949,5721,2678,3
2455,43.74141146,-79.24745443,24796,8049,4544,2409,3
2457,43.74278587,-79.24248073,24811,8046,4507,2434,3
2459,43.70767488,-79.25045908,24993,7275,4212,2798,3
2477,43.92761504,-79.43891826,30059,9138,5365,2597,3
2488,44.0693494,-79.46869828,41677,12080,7635,3180,3
2510,43.83654167,-79.5253523,18220,5781,4951,1862,3
2514,43.88161546,-79.20906693,34965,10831,7425,2429,3
2525,43.48098515,-79.71944637,22013,6345,5477,2249,3
2528,44.05688457,-79.49686634,39556,11443,7374,2803,3
2529,44.06422083,-79.49107296,40399,11698,7236,2953,3
2531,43.47340041,-79.71337813,22690,6899,5544,2221,3
2532,43.89245396,-79.51366176,23827,7299,6272,2153,3
2533,43.87254511,-79.47733175,24008,7367,5608,2323,3
2534,43.86340802,-79.20205015,33982,10602,7850,2555,3
2545,43.88201358,-79.03748304,42192,13564,6795,3022,3
2551,43.71748083,-79.33884658,18405,5718,4450,2181,3
2554,43.85053004,-79.49365365,20604,6395,5314,2042,3
2555,43.85435165,-79.47303945,21877,6673,5134,2132,3
2557,43.88923313,-79.23025148,34786,11360,5591,2520,3
2558,43.89438368,-79.20798794,36021,11174,8354,2599,3
2563,43.66087743,-79.79247184,15108,4462,5524,2178,3
2565,43.63856042,-79.80480388,15975,4490,6654,2087,3
2575,43.93011306,-79.46580916,29577,8801,6845,2581,3
2578,43.91241546,-79.46057865,28189,8905,5265,2580,3
2585,43.6335657,-79.89619909,23153,6870,200000,2432,3
2586,43.62681171,-79.88348016,22386,6664,200000,2400,3
2600,44.14440411,-79.35489981,53088,15706,200000,3543,3
2601,43.84865289,-79.24094114,30735,9821,6939,2436,3
2604,43.8384613,-79.54094753,19085,6003,5033,1832,3
2609,43.93571411,-79.40890297,31743,10495,5399,2441,3
2611,43.55053351,-79.73749784,16483,4771,5587,2020,3
2612,43.54444349,-79.74508412,17120,4861,5484,2004,3
2613,43.71923812,-79.76123797,11851,3531,5643,1752,3
2621,43.70947564,-79.44746147,11430,3987,2992,1596,3
2623,43.84564258,-79.52908837,18999,5864,4844,1823,3
2626,43.86156572,-79.54544258,20488,6267,5256,1938,3
2627,43.85217898,-79.54360293,19631,6056,4920,1844,3
2639,43.4424169,-79.75837764,25947,8005,5789,2429,3
2641,43.70688726,-79.46104178,10505,3629,2929,1676,3
2642,43.70761923,-79.49688616,8336,2517,2752,1421,3
2643,43.71477152,-79.49902122,8405,2551,2966,1405,3
2644,43.72904897,-79.43966552,12559,3976,2594,1677,3
2645,43.73108831,-79.503912,9401,2997,3368,1568,3
2646,43.73763589,-79.50341313,10093,3648,3654,1634,3
2647,43.49660771,-79.84809374,24873,7445,200000,2550,3
2649,43.49883133,-79.83885341,24752,7225,200000,2608,3
2651,43.64059445,-79.91712315,24047,7183,6876,2538,3
2654,43.51342849,-79.83550659,23145,7143,6303,2438,3
2656,43.52806529,-79.85095306,22537,7148,5931,2265,3
2657,43.64373387,-79.90125209,22735,6768,5889,2519,3
2658,43.48168098,-79.8646018,26475,7882,200000,2652,3
2664,43.78336873,-79.41422358,18645,6242,3737,2019,3
2667,43.67994006,-79.84857179,18509,5637,4650,2407,3
2668,43.43545021,-79.76646971,26722,8213,5504,2348,3
2669,43.43201152,-79.75418082,27054,7919,6130,2493,3
2670,43.4977517,-79.6951458,20502,5959,7342,2089,3
2671,43.48890115,-79.69842547,21283,6500,5916,2063,3
2672,43.52341,-79.83099886,22058,6996,5872,2310,3
